ROLE,JOUEUR,ID_MAIN
BOT,Nitjit,1br7zk8XfFW1wHgl4nDxcwoyVNk6qvgzRuT3oZNLk1o_qiMJQR3ff3LE
BOT,Booshi,Y0-E4lExJB37yIuwiDiJjDzriCmccB0gufM5bjz_DLwLDQ
BOT,Kross,omUL-XFcqluXzY8ohTmaJbZo9S73SUTfYFKytN8ZDMG0quOhK19EG2qq
BOT,Yen,6jmqFBejx985X9JamYuLgzSlhAeAYkX6DWApSqRv2IYfL8M
BOT,Iliks,EpbhQzPwtaYBWpemaWPol8B2zZt8-9QTkAsILJUFN1-1e9o
BOT,Akuma,p5shaMHPvujVvL5VytmPV1mH71UFMiGdPCUGYV5Zw-mB6Lo
SUP,Snake,lweRkaiK-WF3rCJjPtxpZLp0q7sszALqKL3iW-PkGmvWtdUy2kMxX3FE
SUP,Wixo,rf28iK63wpz63MWVAl0FptBgBgYCx2syCrpVbyAyAfN5Ies
SUP,Bliio,EfmN2Ccq-3-hVBtQP69e3e2LOW1SObaUH593vsRJlA1zgQ
SUP,Caillou,1jdkLku9IZ1tS2wCrRxk6B493QBBbULr5dUkiVrQfy8O19I
SUP,Cerecof,ss5DdGpxfFuCyixYe5MQizq7l7U2jP4s1iJ0W5Dwx6ygd2ihOTFs2Umf
SUP,Cottira,E6RGQZmNSDfVrX1GA4NTvWxSLVfcY_f3YyRWax2R3SqJxa1RR9M5Ncie
SUP,Julgrim,oNsvFi30_XWwvAvLYalZQy7Kw5jkCVexligV8_5reg_E4kY
SUP,Matthieu,937OleGkAR2T4-YOAcy9YtWQ35YTh1g64jPwnOqdbc5DOg
SUP,Powersmite,2W6R5AIwGDHPIh5XEcTGrv0vBcO5qbM9_R8CCA8NU0zeXVA
SUP,Myrtus,WJMtdRcweexfmbT4H_xml3Kr0LZ_P9KHlf1Xfk4jlz9oFC5e4G3G38wK
SUP,Raïto,8NUa1HhAGTalKw9Hkr40SES0s0FlP0g4DEImZDvYiEV8ww
SUP,Oniryon,pCyVx6d41HN24YXKNTtcAAP-wMHv6v-gARNCEZfiGdhedDU
SUP,Romeo,NAm3LPNJsT2CJvaQq--l_u_ZFPsSUCAjNAbpunut28XM-Ln5WDwQGDvh
SUP,Kwebz,5_H5caBvxSt5FvEq4UWTJkQaETfRmdsQWXImHAfa-h2_2g
SUP,Benaset,k2ZG9EyfhNmUYEHLMsfojx9-E5rJjQydEshCWmzxRhro9zg
SUP,Sunfry,bTWuJdnFAkhZT211IyZ9mCfRZX2fvipFNrSXH6GTjShYwg
